prop_name,completion_year,monthly_rent,location,property_type,rooms,parking,bathroom,size_sqft,furnished,facilities,additional_facilities,region
D'Puncak Suasana,2017,1000,Kuala Lumpur - KLCC,Apartment,3,2,2,1000,Partially Furnished,"Playground, Swimming Pool, Parking, Security, Barbeque area, Minimart, Multipurpose hall, Jogging Track, Tennis Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Internet",Kuala Lumpur
Kaleidoscope,2017,2700,Kuala Lumpur - Setiawangsa,Condominium,3,0,2,1115,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Club house",None,Kuala Lumpur
KL Traders Square Residences,2019,1400,Kuala Lumpur - Gombak,Service Residence,3,1,2,850,Not Furnished,"Swimming Pool, Lift, Security, Parking, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Squash Court, Tennis Court, Jogging Track, Club house, Playground","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur
Prisma Cheras,2017,1500,Kuala Lumpur - Cheras,Condominium,2,1,1,717,Fully Furnished,"Tennis Court, Sauna, Gymnasium, Squash Court, Barbeque area, Playground, Security, Parking, Swimming Pool, Lift, Minimart, Multipurpose hall, Jogging Track","Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT",Kuala Lumpur
Seasons Garden Residences @ Wangsa Maju,2017,1350,Kuala Lumpur - Wangsa Maju,Apartment,3,1,2,850,Partially Furnished,None,None,Kuala Lumpur
Lavile,2021,3000,Kuala Lumpur - Cheras,Service Residence,3,0,2,864,Fully Furnished,"Swimming Pool, Barbeque area, Security, Multipurpose hall, Gymnasium, Lift, Parking, Playground, Sauna, Jogging Track, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
Maxim Citilights,2017,1300,Kuala Lumpur - Sentul,Service Residence,3,1,2,1150,Not Furnished,"Security, Minimart, Playground, Swimming Pool, Multipurpose hall, Jogging Track, Lift, Parking",Near KTM/LRT,Kuala Lumpur
Fajar Ria,2017,2500,Kuala Lumpur - Pantai,Condominium,3,0,2,1500,Fully Furnished,"Parking, Security, Playground, Swimming Pool, Gymnasium","Cooking Allowed, Near KTM/LRT, Air-Cond",Kuala Lumpur
Banyan Tree,2015,7000,Kuala Lumpur - KLCC,Condominium,2,1,2,1076,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area","Air-Cond, Near KTM/LRT, Washing Machine, Cooking Allowed",Kuala Lumpur
PPA1M Bukit Jalil,2017,1300,Kuala Lumpur - Bukit Jalil,Apartment,3,1,2,1000,Not Furnished,"Parking, Security, Lift, Playground, Minimart, Multipurpose hall",None,Kuala Lumpur
Taman Connaught,2017,900,Kuala Lumpur - Cheras,Apartment,2,1,1,550,Partially Furnished,"Parking, Security, Lift, Playground, Jogging Track","Cooking Allowed, Near KTM/LRT",Kuala Lumpur
Midah Ria,2017,1300,Kuala Lumpur - Cheras,Condominium,3,1,2,967,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur
Sri Kenangan,2017,2500,Kuala Lumpur - Wangsa Maju,Condominium,4,1,2,1184,Partially Furnished,"Minimart, Barbeque area, Swimming Pool, Parking, Security, Playground",None,Kuala Lumpur
Faber Ria,1985,1300,Kuala Lumpur - Taman Desa,Condominium,2,1,2,1050,Partially Furnished,"Playground, Swimming Pool, Tennis Court, Squash Court, Minimart, Sauna, Club house, Parking, Security, Gymnasium, Barbeque area, Lift",Cooking Allowed,Kuala Lumpur
Banyan Tree,2015,7800,Kuala Lumpur - KLCC,Condominium,2,1,2,1076,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Multipurpose hall, Club house, Jogging Track","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
Villa Wangsamas,2010,1700,Kuala Lumpur - Wangsa Maju,Condominium,3,0,3,1267,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track","Air-Cond, Cooking Allowed, Near KTM/LRT, Internet",Kuala Lumpur
